course_id,provider,course_title,total_colleges,credits_range,delivery_method,price,description,college,school,transfer_credits,more_info,,,,
c3,AP (Advanced Placement),AP African American Studies,1000+,3 to 6,In-person,$99,AP African American Studies is an interdisciplinary course that examines the diversity of African American experiences through direct encounters with rich and varied sources. Students explore key topics that extend from early African kingdoms to the ongoing challenges and achievements of the contemporary moment.,"University of California, Riverside",,4 quarter units,Transfers as: African American Studies (available after May 2025),,,,
c3,AP (Advanced Placement),AP African American Studies,1000+,3 to 6,In-person,$99,AP African American Studies is an interdisciplinary course that examines the diversity of African American experiences through direct encounters with rich and varied sources. Students explore key topics that extend from early African kingdoms to the ongoing challenges and achievements of the contemporary moment.,"University of California, San Diego",,4 quarter units,Transfers as: African American Studies (available after May 2025),,,,
c3,AP (Advanced Placement),AP African American Studies,1000+,3 to 6,In-person,$99,AP African American Studies is an interdisciplinary course that examines the diversity of African American experiences through direct encounters with rich and varied sources. Students explore key topics that extend from early African kingdoms to the ongoing challenges and achievements of the contemporary moment.,"University of California, Santa Barbara",,4 quarter units,Transfers as: African American Studies (available after May 2025),,,,
c3,AP (Advanced Placement),AP African American Studies,1000+,3 to 6,In-person,$99,AP African American Studies is an interdisciplinary course that examines the diversity of African American experiences through direct encounters with rich and varied sources. Students explore key topics that extend from early African kingdoms to the ongoing challenges and achievements of the contemporary moment.,"University of California, Santa Cruz",,4 quarter units,Transfers as: African American Studies (available after May 2025),,,,
c4,AP (Advanced Placement),AP 2-D Art and Design,1000+,3 to 6,In-person,$99,AP 2-D Art and Design is an introductory college-level two-dimensional design course. Students refine and apply 2-D skills to ideas they develop throughout the course.,"University of California, Berkeley",,5.3 semester units,Transfers as: Art and Design,,,,
c4,AP (Advanced Placement),AP 2-D Art and Design,1000+,3 to 6,In-person,$99,AP 2-D Art and Design is an introductory college-level two-dimensional design course. Students refine and apply 2-D skills to ideas they develop throughout the course.,"University of California, Merced",,5.3 semester units,Transfers as: Art and Design,,,,
c4,AP (Advanced Placement),AP 2-D Art and Design,1000+,3 to 6,In-person,$99,AP 2-D Art and Design is an introductory college-level two-dimensional design course. Students refine and apply 2-D skills to ideas they develop throughout the course.,"University of California, Davis",,8 quarter units,Transfers as: Art and Design,,,,
c4,AP (Advanced Placement),AP 2-D Art and Design,1000+,3 to 6,In-person,$99,AP 2-D Art and Design is an introductory college-level two-dimensional design course. Students refine and apply 2-D skills to ideas they develop throughout the course.,"University of California, Irvine",,8 quarter units,Transfers as: Art and Design,,,,
c4,AP (Advanced Placement),AP 2-D Art and Design,1000+,3 to 6,In-person,$99,AP 2-D Art and Design is an introductory college-level two-dimensional design course. Students refine and apply 2-D skills to ideas they develop throughout the course.,"University of California, Los Angeles",,8 quarter units,Transfers as: Art and Design,,,,
c4,AP (Advanced Placement),AP 2-D Art and Design,1000+,3 to 6,In-person,$99,AP 2-D Art and Design is an introductory college-level two-dimensional design course. Students refine and apply 2-D skills to ideas they develop throughout the course.,"University of California, Riverside",,8 quarter units,Transfers as: Art and Design,,,,
c4,AP (Advanced Placement),AP 2-D Art and Design,1000+,3 to 6,In-person,$99,AP 2-D Art and Design is an introductory college-level two-dimensional design course. Students refine and apply 2-D skills to ideas they develop throughout the course.,"University of California, San Diego",,8 quarter units,Transfers as: Art and Design,,,,
c4,AP (Advanced Placement),AP 2-D Art and Design,1000+,3 to 6,In-person,$99,AP 2-D Art and Design is an introductory college-level two-dimensional design course. Students refine and apply 2-D skills to ideas they develop throughout the course.,"University of California, Santa Barbara",,8 quarter units,Transfers as: Art and Design,,,,
c4,AP (Advanced Placement),AP 2-D Art and Design,1000+,3 to 6,In-person,$99,AP 2-D Art and Design is an introductory college-level two-dimensional design course. Students refine and apply 2-D skills to ideas they develop throughout the course.,"University of California, Santa Cruz",,8 quarter units,Transfers as: Art and Design,,,,
c5,AP (Advanced Placement),AP 3-D Art and Design,1000+,3 to 6,In-person,$99,AP 3-D Art and Design is an introductory college-level three-dimensional design course. Students refine and apply 3-D skills to ideas they develop throughout the course.,"University of California, Berkeley",,5.3 semester units,Transfers as: Art and Design,,,,
c5,AP (Advanced Placement),AP 3-D Art and Design,1000+,3 to 6,In-person,$99,AP 3-D Art and Design is an introductory college-level three-dimensional design course. Students refine and apply 3-D skills to ideas they develop throughout the course.,"University of California, Merced",,5.3 semester units,Transfers as: Art and Design,,,,
c5,AP (Advanced Placement),AP 3-D Art and Design,1000+,3 to 6,In-person,$99,AP 3-D Art and Design is an introductory college-level three-dimensional design course. Students refine and apply 3-D skills to ideas they develop throughout the course.,"University of California, Davis",,8 quarter units,Transfers as: Art and Design,,,,
c5,AP (Advanced Placement),AP 3-D Art and Design,1000+,3 to 6,In-person,$99,AP 3-D Art and Design is an introductory college-level three-dimensional design course. Students refine and apply 3-D skills to ideas they develop throughout the course.,"University of California, Irvine",,8 quarter units,Transfers as: Art and Design,,,,
c5,AP (Advanced Placement),AP 3-D Art and Design,1000+,3 to 6,In-person,$99,AP 3-D Art and Design is an introductory college-level three-dimensional design course. Students refine and apply 3-D skills to ideas they develop throughout the course.,"University of California, Los Angeles",,8 quarter units,Transfers as: Art and Design,,,,
c5,AP (Advanced Placement),AP 3-D Art and Design,1000+,3 to 6,In-person,$99,AP 3-D Art and Design is an introductory college-level three-dimensional design course. Students refine and apply 3-D skills to ideas they develop throughout the course.,"University of California, Riverside",,8 quarter units,Transfers as: Art and Design,,,,
c5,AP (Advanced Placement),AP 3-D Art and Design,1000+,3 to 6,In-person,$99,AP 3-D Art and Design is an introductory college-level three-dimensional design course. Students refine and apply 3-D skills to ideas they develop throughout the course.,"University of California, San Diego",,8 quarter units,Transfers as: Art and Design,,,,
c5,AP (Advanced Placement),AP 3-D Art and Design,1000+,3 to 6,In-person,$99,AP 3-D Art and Design is an introductory college-level three-dimensional design course. Students refine and apply 3-D skills to ideas they develop throughout the course.,"University of California, Santa Barbara",,8 quarter units,Transfers as: Art and Design,,,,
c5,AP (Advanced Placement),AP 3-D Art and Design,1000+,3 to 6,In-person,$99,AP 3-D Art and Design is an introductory college-level three-dimensional design course. Students refine and apply 3-D skills to ideas they develop throughout the course.,"University of California, Santa Cruz",,8 quarter units,Transfers as: Art and Design,,,,
c6,AP (Advanced Placement),AP Drawing,1000+,3 to 6,In-person,$99,AP Drawing is an introductory college-level drawing course. Students refine and apply drawing skills to ideas they develop throughout the course.,"University of California, Berkeley",,5.3 semester units,Transfers as: Art and Design,,,,
c6,AP (Advanced Placement),AP Drawing,1000+,3 to 6,In-person,$99,AP Drawing is an introductory college-level drawing course. Students refine and apply drawing skills to ideas they develop throughout the course.,"University of California, Merced",,5.3 semester units,Transfers as: Art and Design,,,,
c6,AP (Advanced Placement),AP Drawing,1000+,3 to 6,In-person,$99,AP Drawing is an introductory college-level drawing course. Students refine and apply drawing skills to ideas they develop throughout the course.,"University of California, Davis",,8 quarter units,Transfers as: Art and Design,,,,
c6,AP (Advanced Placement),AP Drawing,1000+,3 to 6,In-person,$99,AP Drawing is an introductory college-level drawing course. Students refine and apply drawing skills to ideas they develop throughout the course.,"University of California, Irvine",,8 quarter units,Transfers as: Art and Design,,,,
c6,AP (Advanced Placement),AP Drawing,1000+,3 to 6,In-person,$99,AP Drawing is an introductory college-level drawing course. Students refine and apply drawing skills to ideas they develop throughout the course.,"University of California, Los Angeles",,8 quarter units,Transfers as: Art and Design,,,,
c6,AP (Advanced Placement),AP Drawing,1000+,3 to 6,In-person,$99,AP Drawing is an introductory college-level drawing course. Students refine and apply drawing skills to ideas they develop throughout the course.,"University of California, Riverside",,8 quarter units,Transfers as: Art and Design,,,,
c6,AP (Advanced Placement),AP Drawing,1000+,3 to 6,In-person,$99,AP Drawing is an introductory college-level drawing course. Students refine and apply drawing skills to ideas they develop throughout the course.,"University of California, San Diego",,8 quarter units,Transfers as: Art and Design,,,,
c6,AP (Advanced Placement),AP Drawing,1000+,3 to 6,In-person,$99,AP Drawing is an introductory college-level drawing course. Students refine and apply drawing skills to ideas they develop throughout the course.,"University of California, Santa Barbara",,8 quarter units,Transfers as: Art and Design,,,,
c6,AP (Advanced Placement),AP Drawing,1000+,3 to 6,In-person,$99,AP Drawing is an introductory college-level drawing course. Students refine and apply drawing skills to ideas they develop throughout the course.,"University of California, Santa Cruz",,8 quarter units,Transfers as: Art and Design,,,,
c7,AP (Advanced Placement),AP Art History,1000+,3 to 6,In-person,$99,"AP Art History is an introductory college-level art history course. Students cultivate their understanding of art history through analyzing works of art and placing them in historical context as they explore concepts like culture and cultural interactions, theories and interpretations of art, the impact of materials, processes, and techniques on art and art making, and understanding purpose and audience in art historical analysis.","University of California, Berkeley",,5.3 semester units,Transfers as: Art History (UC-H),,,,
c7,AP (Advanced Placement),AP Art History,1000+,3 to 6,In-person,$99,"AP Art History is an introductory college-level art history course. Students cultivate their understanding of art history through analyzing works of art and placing them in historical context as they explore concepts like culture and cultural interactions, theories and interpretations of art, the impact of materials, processes, and techniques on art and art making, and understanding purpose and audience in art historical analysis.","University of California, Merced",,5.3 semester units,Transfers as: Art History (UC-H),,,,
c7,AP (Advanced Placement),AP Art History,1000+,3 to 6,In-person,$99,"AP Art History is an introductory college-level art history course. Students cultivate their understanding of art history through analyzing works of art and placing them in historical context as they explore concepts like culture and cultural interactions, theories and interpretations of art, the impact of materials, processes, and techniques on art and art making, and understanding purpose and audience in art historical analysis.","University of California, Davis",,8 quarter units,Transfers as: Art History (UC-H),,,,
c7,AP (Advanced Placement),AP Art History,1000+,3 to 6,In-person,$99,"AP Art History is an introductory college-level art history course. Students cultivate their understanding of art history through analyzing works of art and placing them in historical context as they explore concepts like culture and cultural interactions, theories and interpretations of art, the impact of materials, processes, and techniques on art and art making, and understanding purpose and audience in art historical analysis.","University of California, Irvine",,8 quarter units,Transfers as: Art History (UC-H),,,,
c7,AP (Advanced Placement),AP Art History,1000+,3 to 6,In-person,$99,"AP Art History is an introductory college-level art history course. Students cultivate their understanding of art history through analyzing works of art and placing them in historical context as they explore concepts like culture and cultural interactions, theories and interpretations of art, the impact of materials, processes, and techniques on art and art making, and understanding purpose and audience in art historical analysis.","University of California, Los Angeles",,8 quarter units,Transfers as: Art History (UC-H),,,,
c7,AP (Advanced Placement),AP Art History,1000+,3 to 6,In-person,$99,"AP Art History is an introductory college-level art history course. Students cultivate their understanding of art history through analyzing works of art and placing them in historical context as they explore concepts like culture and cultural interactions, theories and interpretations of art, the impact of materials, processes, and techniques on art and art making, and understanding purpose and audience in art historical analysis.","University of California, Riverside",,8 quarter units,Transfers as: Art History (UC-H),,,,
c7,AP (Advanced Placement),AP Art History,1000+,3 to 6,In-person,$99,"AP Art History is an introductory college-level art history course. Students cultivate their understanding of art history through analyzing works of art and placing them in historical context as they explore concepts like culture and cultural interactions, theories and interpretations of art, the impact of materials, processes, and techniques on art and art making, and understanding purpose and audience in art historical analysis.","University of California, San Diego",,8 quarter units,Transfers as: Art History (UC-H),,,,
c7,AP (Advanced Placement),AP Art History,1000+,3 to 6,In-person,$99,"AP Art History is an introductory college-level art history course. Students cultivate their understanding of art history through analyzing works of art and placing them in historical context as they explore concepts like culture and cultural interactions, theories and interpretations of art, the impact of materials, processes, and techniques on art and art making, and understanding purpose and audience in art historical analysis.","University of California, Santa Barbara",,8 quarter units,Transfers as: Art History (UC-H),,,,
c7,AP (Advanced Placement),AP Art History,1000+,3 to 6,In-person,$99,"AP Art History is an introductory college-level art history course. Students cultivate their understanding of art history through analyzing works of art and placing them in historical context as they explore concepts like culture and cultural interactions, theories and interpretations of art, the impact of materials, processes, and techniques on art and art making, and understanding purpose and audience in art historical analysis.","University of California, Santa Cruz",,8 quarter units,Transfers as: Art History (UC-H),,,,
c8,AP (Advanced Placement),AP Biology,1000+,3 to 6,In-person,$99,"AP Biology is an introductory college-level biology course. Students cultivate their understanding of biology through inquiry-based investigations as they explore topics like evolution, energetics, information storage and transfer, and system interactions.","University of California, Berkeley",,5.3 semester units,Transfers as: Biology (UC-S),,,,
c8,AP (Advanced Placement),AP Biology,1000+,3 to 6,In-person,$99,"AP Biology is an introductory college-level biology course. Students cultivate their understanding of biology through inquiry-based investigations as they explore topics like evolution, energetics, information storage and transfer, and system interactions.","University of California, Merced",,5.3 semester units,Transfers as: Biology (UC-S),,,,
c8,AP (Advanced Placement),AP Biology,1000+,3 to 6,In-person,$99,"AP Biology is an introductory college-level biology course. Students cultivate their understanding of biology through inquiry-based investigations as they explore topics like evolution, energetics, information storage and transfer, and system interactions.","University of California, Davis",,8 quarter units,Transfers as: Biology (UC-S),,,,
c8,AP (Advanced Placement),AP Biology,1000+,3 to 6,In-person,$99,"AP Biology is an introductory college-level biology course. Students cultivate their understanding of biology through inquiry-based investigations as they explore topics like evolution, energetics, information storage and transfer, and system interactions.","University of California, Irvine",,8 quarter units,Transfers as: Biology (UC-S),,,,
c8,AP (Advanced Placement),AP Biology,1000+,3 to 6,In-person,$99,"AP Biology is an introductory college-level biology course. Students cultivate their understanding of biology through inquiry-based investigations as they explore topics like evolution, energetics, information storage and transfer, and system interactions.","University of California, Los Angeles",,8 quarter units,Transfers as: Biology (UC-S),,,,
c8,AP (Advanced Placement),AP Biology,1000+,3 to 6,In-person,$99,"AP Biology is an introductory college-level biology course. Students cultivate their understanding of biology through inquiry-based investigations as they explore topics like evolution, energetics, information storage and transfer, and system interactions.","University of California, Riverside",,8 quarter units,Transfers as: Biology (UC-S),,,,
c8,AP (Advanced Placement),AP Biology,1000+,3 to 6,In-person,$99,"AP Biology is an introductory college-level biology course. Students cultivate their understanding of biology through inquiry-based investigations as they explore topics like evolution, energetics, information storage and transfer, and system interactions.","University of California, San Diego",,8 quarter units,Transfers as: Biology (UC-S),,,,
c8,AP (Advanced Placement),AP Biology,1000+,3 to 6,In-person,$99,"AP Biology is an introductory college-level biology course. Students cultivate their understanding of biology through inquiry-based investigations as they explore topics like evolution, energetics, information storage and transfer, and system interactions.","University of California, Santa Barbara",,8 quarter units,Transfers as: Biology (UC-S),,,,
c8,AP (Advanced Placement),AP Biology,1000+,3 to 6,In-person,$99,"AP Biology is an introductory college-level biology course. Students cultivate their understanding of biology through inquiry-based investigations as they explore topics like evolution, energetics, information storage and transfer, and system interactions.","University of California, Santa Cruz",,8 quarter units,Transfers as: Biology (UC-S),,,,
c9,AP (Advanced Placement),AP Chemistry,1000+,3 to 6,In-person,$99,"AP Chemistry is an introductory college-level chemistry course. Students cultivate their understanding of chemistry through inquiry-based investigations as they explore topics like atomic and molecular structure, chemical reactions, kinetics, equilibrium, and thermodynamics.","University of California, Berkeley",,5.3 semester units,Transfers as: Chemistry (UC-S),,,,
c9,AP (Advanced Placement),AP Chemistry,1000+,3 to 6,In-person,$99,"AP Chemistry is an introductory college-level chemistry course. Students cultivate their understanding of chemistry through inquiry-based investigations as they explore topics like atomic and molecular structure, chemical reactions, kinetics, equilibrium, and thermodynamics.","University of California, Merced",,5.3 semester units,Transfers as: Chemistry (UC-S),,,,
c9,AP (Advanced Placement),AP Chemistry,1000+,3 to 6,In-person,$99,"AP Chemistry is an introductory college-level chemistry course. Students cultivate their understanding of chemistry through inquiry-based investigations as they explore topics like atomic and molecular structure, chemical reactions, kinetics, equilibrium, and thermodynamics.","University of California, Davis",,8 quarter units,Transfers as: Chemistry (UC-S),,,,
c9,AP (Advanced Placement),AP Chemistry,1000+,3 to 6,In-person,$99,"AP Chemistry is an introductory college-level chemistry course. Students cultivate their understanding of chemistry through inquiry-based investigations as they explore topics like atomic and molecular structure, chemical reactions, kinetics, equilibrium, and thermodynamics.","University of California, Irvine",,8 quarter units,Transfers as: Chemistry (UC-S),,,,
c9,AP (Advanced Placement),AP Chemistry,1000+,3 to 6,In-person,$99,"AP Chemistry is an introductory college-level chemistry course. Students cultivate their understanding of chemistry through inquiry-based investigations as they explore topics like atomic and molecular structure, chemical reactions, kinetics, equilibrium, and thermodynamics.","University of California, Los Angeles",,8 quarter units,Transfers as: Chemistry (UC-S),,,,
c9,AP (Advanced Placement),AP Chemistry,1000+,3 to 6,In-person,$99,"AP Chemistry is an introductory college-level chemistry course. Students cultivate their understanding of chemistry through inquiry-based investigations as they explore topics like atomic and molecular structure, chemical reactions, kinetics, equilibrium, and thermodynamics.","University of California, Riverside",,8 quarter units,Transfers as: Chemistry (UC-S),,,,
c9,AP (Advanced Placement),AP Chemistry,1000+,3 to 6,In-person,$99,"AP Chemistry is an introductory college-level chemistry course. Students cultivate their understanding of chemistry through inquiry-based investigations as they explore topics like atomic and molecular structure, chemical reactions, kinetics, equilibrium, and thermodynamics.","University of California, San Diego",,8 quarter units,Transfers as: Chemistry (UC-S),,,,
c9,AP (Advanced Placement),AP Chemistry,1000+,3 to 6,In-person,$99,"AP Chemistry is an introductory college-level chemistry course. Students cultivate their understanding of chemistry through inquiry-based investigations as they explore topics like atomic and molecular structure, chemical reactions, kinetics, equilibrium, and thermodynamics.","University of California, Santa Barbara",,8 quarter units,Transfers as: Chemistry (UC-S),,,,
c9,AP (Advanced Placement),AP Chemistry,1000+,3 to 6,In-person,$99,"AP Chemistry is an introductory college-level chemistry course. Students cultivate their understanding of chemistry through inquiry-based investigations as they explore topics like atomic and molecular structure, chemical reactions, kinetics, equilibrium, and thermodynamics.","University of California, Santa Cruz",,8 quarter units,Transfers as: Chemistry (UC-S),,,,
c10,AP (Advanced Placement),AP Computer Science A,1000+,3 to 6,In-person,$99,"AP Computer Science A is an introductory college-level computer science course. Students cultivate their understanding of coding through analyzing, writing, and testing code as they explore concepts like modularity, variables, and control structures.","University of California, Berkeley",,5.3 semester units,Transfers as: Computer Science,,,,
c10,AP (Advanced Placement),AP Computer Science A,1000+,3 to 6,In-person,$99,"AP Computer Science A is an introductory college-level computer science course. Students cultivate their understanding of coding through analyzing, writing, and testing code as they explore concepts like modularity, variables, and control structures.","University of California, Merced",,5.3 semester units,Transfers as: Computer Science,,,,
c10,AP (Advanced Placement),AP Computer Science A,1000+,3 to 6,In-person,$99,"AP Computer Science A is an introductory college-level computer science course. Students cultivate their understanding of coding through analyzing, writing, and testing code as they explore concepts like modularity, variables, and control structures.","University of California, Davis",,8 quarter units,Transfers as: Computer Science,,,,
c10,AP (Advanced Placement),AP Computer Science A,1000+,3 to 6,In-person,$99,"AP Computer Science A is an introductory college-level computer science course. Students cultivate their understanding of coding through analyzing, writing, and testing code as they explore concepts like modularity, variables, and control structures.","University of California, Irvine",,8 quarter units,Transfers as: Computer Science,,,,
c10,AP (Advanced Placement),AP Computer Science A,1000+,3 to 6,In-person,$99,"AP Computer Science A is an introductory college-level computer science course. Students cultivate their understanding of coding through analyzing, writing, and testing code as they explore concepts like modularity, variables, and control structures.","University of California, Los Angeles",,8 quarter units,Transfers as: Computer Science,,,,
c10,AP (Advanced Placement),AP Computer Science A,1000+,3 to 6,In-person,$99,"AP Computer Science A is an introductory college-level computer science course. Students cultivate their understanding of coding through analyzing, writing, and testing code as they explore concepts like modularity, variables, and control structures.","University of California, Riverside",,8 quarter units,Transfers as: Computer Science,,,,
c10,AP (Advanced Placement),AP Computer Science A,1000+,3 to 6,In-person,$99,"AP Computer Science A is an introductory college-level computer science course. Students cultivate their understanding of coding through analyzing, writing, and testing code as they explore concepts like modularity, variables, and control structures.","University of California, San Diego",,8 quarter units,Transfers as: Computer Science,,,,
c10,AP (Advanced Placement),AP Computer Science A,1000+,3 to 6,In-person,$99,"AP Computer Science A is an introductory college-level computer science course. Students cultivate their understanding of coding through analyzing, writing, and testing code as they explore concepts like modularity, variables, and control structures.","University of California, Santa Barbara",,8 quarter units,Transfers as: Computer Science,,,,
c10,AP (Advanced Placement),AP Computer Science A,1000+,3 to 6,In-person,$99,"AP Computer Science A is an introductory college-level computer science course. Students cultivate their understanding of coding through analyzing, writing, and testing code as they explore concepts like modularity, variables, and control structures.","University of California, Santa Cruz",,8 quarter units,Transfers as: Computer Science,,,,
c11,AP (Advanced Placement),AP Computer Science Principles,1000+,3 to 6,In-person,$99,"AP Computer Science Principles is an introductory college-level computing course that introduces students to the breadth of the field of computer science. Students learn to design and evaluate solutions and to apply computer science to solve problems through the development of algorithms and programs. They incorporate abstraction into programs and use data to discover new knowledge. Students also explain how computing innovations and computing systems—including the internet—work, explore their potential impacts, and contribute to a computing culture that is collaborative and ethical.","University of California, Berkeley",,5.3 semester units,Transfers as: Computer Science,,,,
c11,AP (Advanced Placement),AP Computer Science Principles,1000+,3 to 6,In-person,$99,"AP Computer Science Principles is an introductory college-level computing course that introduces students to the breadth of the field of computer science. Students learn to design and evaluate solutions and to apply computer science to solve problems through the development of algorithms and programs. They incorporate abstraction into programs and use data to discover new knowledge. Students also explain how computing innovations and computing systems—including the internet—work, explore their potential impacts, and contribute to a computing culture that is collaborative and ethical.","University of California, Merced",,5.3 semester units,Transfers as: Computer Science,,,,
c11,AP (Advanced Placement),AP Computer Science Principles,1000+,3 to 6,In-person,$99,"AP Computer Science Principles is an introductory college-level computing course that introduces students to the breadth of the field of computer science. Students learn to design and evaluate solutions and to apply computer science to solve problems through the development of algorithms and programs. They incorporate abstraction into programs and use data to discover new knowledge. Students also explain how computing innovations and computing systems—including the internet—work, explore their potential impacts, and contribute to a computing culture that is collaborative and ethical.","University of California, Davis",,8 quarter units,Transfers as: Computer Science,,,,
c11,AP (Advanced Placement),AP Computer Science Principles,1000+,3 to 6,In-person,$99,"AP Computer Science Principles is an introductory college-level computing course that introduces students to the breadth of the field of computer science. Students learn to design and evaluate solutions and to apply computer science to solve problems through the development of algorithms and programs. They incorporate abstraction into programs and use data to discover new knowledge. Students also explain how computing innovations and computing systems—including the internet—work, explore their potential impacts, and contribute to a computing culture that is collaborative and ethical.","University of California, Irvine",,8 quarter units,Transfers as: Computer Science,,,,
c11,AP (Advanced Placement),AP Computer Science Principles,1000+,3 to 6,In-person,$99,"AP Computer Science Principles is an introductory college-level computing course that introduces students to the breadth of the field of computer science. Students learn to design and evaluate solutions and to apply computer science to solve problems through the development of algorithms and programs. They incorporate abstraction into programs and use data to discover new knowledge. Students also explain how computing innovations and computing systems—including the internet—work, explore their potential impacts, and contribute to a computing culture that is collaborative and ethical.","University of California, Los Angeles",,8 quarter units,Transfers as: Computer Science,,,,
c11,AP (Advanced Placement),AP Computer Science Principles,1000+,3 to 6,In-person,$99,"AP Computer Science Principles is an introductory college-level computing course that introduces students to the breadth of the field of computer science. Students learn to design and evaluate solutions and to apply computer science to solve problems through the development of algorithms and programs. They incorporate abstraction into programs and use data to discover new knowledge. Students also explain how computing innovations and computing systems—including the internet—work, explore their potential impacts, and contribute to a computing culture that is collaborative and ethical.","University of California, Riverside",,8 quarter units,Transfers as: Computer Science,,,,
c11,AP (Advanced Placement),AP Computer Science Principles,1000+,3 to 6,In-person,$99,"AP Computer Science Principles is an introductory college-level computing course that introduces students to the breadth of the field of computer science. Students learn to design and evaluate solutions and to apply computer science to solve problems through the development of algorithms and programs. They incorporate abstraction into programs and use data to discover new knowledge. Students also explain how computing innovations and computing systems—including the internet—work, explore their potential impacts, and contribute to a computing culture that is collaborative and ethical.","University of California, San Diego",,8 quarter units,Transfers as: Computer Science,,,,
c11,AP (Advanced Placement),AP Computer Science Principles,1000+,3 to 6,In-person,$99,"AP Computer Science Principles is an introductory college-level computing course that introduces students to the breadth of the field of computer science. Students learn to design and evaluate solutions and to apply computer science to solve problems through the development of algorithms and programs. They incorporate abstraction into programs and use data to discover new knowledge. Students also explain how computing innovations and computing systems—including the internet—work, explore their potential impacts, and contribute to a computing culture that is collaborative and ethical.","University of California, Santa Barbara",,8 quarter units,Transfers as: Computer Science,,,,
c11,AP (Advanced Placement),AP Computer Science Principles,1000+,3 to 6,In-person,$99,"AP Computer Science Principles is an introductory college-level computing course that introduces students to the breadth of the field of computer science. Students learn to design and evaluate solutions and to apply computer science to solve problems through the development of algorithms and programs. They incorporate abstraction into programs and use data to discover new knowledge. Students also explain how computing innovations and computing systems—including the internet—work, explore their potential impacts, and contribute to a computing culture that is collaborative and ethical.","University of California, Santa Cruz",,8 quarter units,Transfers as: Computer Science,,,,
c12,AP (Advanced Placement),AP Microeconomics,1000+,3 to 6,In-person,$99,"AP Microeconomics is an introductory college-level microeconomics course. Students cultivate their understanding of the principles that apply to the functions of individual economic decision-makers by using principles and models to describe economic situations and predict and explain outcomes with graphs, charts, and data as they explore concepts like scarcity and markets; costs, benefits, and marginal analysis; production choices and behavior; and market inefficiency and public policy.","University of California, Berkeley",,2.6 semester units,Transfers as: Economics (UC-B),,,,
c12,AP (Advanced Placement),AP Microeconomics,1000+,3 to 6,In-person,$99,"AP Microeconomics is an introductory college-level microeconomics course. Students cultivate their understanding of the principles that apply to the functions of individual economic decision-makers by using principles and models to describe economic situations and predict and explain outcomes with graphs, charts, and data as they explore concepts like scarcity and markets; costs, benefits, and marginal analysis; production choices and behavior; and market inefficiency and public policy.","University of California, Merced",,2.6 semester units,Transfers as: Economics (UC-B),,,,
